"Date","ED_data","Day_rolling_avg_10"
"08MAY2024",".",0.006945
"09MAY2024",".",0.006945
"10MAY2024",".",0.006225
"11MAY2024",".",0.006225
"12MAY2024",182,0.007996
"13MAY2024",".",0.007996
"14MAY2024",".",0.018891
"15MAY2024",".",0.018891
"16MAY2024",".",0.021064
"17MAY2024",".",0.027598
"18MAY2024",".",0.027598
"19MAY2024",156,0.027598
"20MAY2024",".",0.027598
"21MAY2024",".",0.020024
"22MAY2024",".",0.020024
"23MAY2024",".",0.020024
"24MAY2024",".",0.015144
"25MAY2024",".",0.015144
"26MAY2024",193,0.004877
"27MAY2024",".",0.004877
"28MAY2024",".",0.005458
"29MAY2024",".",0.005458
"30MAY2024",".",0.006997
"31MAY2024",".",0.008057
"01JUN2024",".",0.008057
"02JUN2024",196,0.008057
"03JUN2024",".",0.008057
"04JUN2024",".",0.013228
"05JUN2024",".",0.013228
"06JUN2024",".",0.011634
"07JUN2024",".",0.013499
"08JUN2024",".",0.013499
"09JUN2024",250,0.015212
"10JUN2024",".",0.015212
"11JUN2024",".",0.012962
"12JUN2024",".",0.012962
"13JUN2024",".",0.010748
"14JUN2024",".",0.006475
"15JUN2024",".",0.006475
"16JUN2024",247,0.006285
"17JUN2024",".",0.006285
"18JUN2024",".",0.006392
"19JUN2024",".",0.006392
"20JUN2024",".",0.016904
"21JUN2024",".",0.019717
"22JUN2024",".",0.019717
"23JUN2024",217,0.027522
"24JUN2024",".",0.027522
"25JUN2024",".",0.020404
"26JUN2024",".",0.020404
"27JUN2024",".",0.016645
"28JUN2024",".",0.019992
"29JUN2024",".",0.019992
"30JUN2024",274,0.005768
"01JUL2024",".",0.005768
"02JUL2024",".",0.005479
"03JUL2024",".",0.005479
"04JUL2024",".",0.005479
"05JUL2024",".",0.005135
"06JUL2024",".",0.005135
"07JUL2024",282,0.004902
"08JUL2024",".",0.003491
"09JUL2024",".",0.003491
"10JUL2024",".",0.003491
"11JUL2024",".",0.002867
"12JUL2024",".",0.001849
"13JUL2024",".",0.001849
"14JUL2024",292,0.001849
"15JUL2024",".",0.001849
"16JUL2024",".",0.008796
"17JUL2024",".",0.008796
"18JUL2024",".",0.014631
"19JUL2024",".",0.014631
"20JUL2024",".",0.014631
"21JUL2024",316,0.021137
"22JUL2024",".",0.021137
"23JUL2024",".",0.027454
